MODEL                      ,CREATOR ,CONTEXT WINDOW ,INDEX Normalized avg ,BLENDED USD/1M Tokens ,MEDIAN Tokens/s ,MEDIAN First Chunk (s) ,FURTHER ANALYSIS
o1-preview                 ,        ,128k           ,                  85 ,$26.25                ,           29.7 ,                 34.07 ,Model Providers
o1-mini                    ,        ,128k           ,                  82 ,$5.25                 ,           72.1 ,                 14.52 ,Model Providers
GPT-4o                     ,        ,128k           ,                  77 ,$4.38                 ,          113.7 ,                  0.39 ,Model Providers
GPT-4o (May '24)           ,        ,128k           ,                  77 ,$7.50                 ,          109.8 ,                  0.37 ,Model Providers
GPT-4o mini                ,        ,128k           ,                  71 ,$0.26                 ,          116.5 ,                  0.41 ,Model Providers
Llama 3.1 405B             ,        ,128k           ,                  72 ,$4.50                 ,           26.0 ,                  0.72 ,Model Providers
Llama 3.1 70B              ,        ,128k           ,                  65 ,$0.88                 ,           59.2 ,                  0.44 ,Model Providers
Llama 3.1 8B               ,        ,128k           ,                  53 ,$0.14                 ,          214.0 ,                  0.32 ,Model Providers
Llama 3.2 90B (Vision)     ,        ,128k           ,                  66 ,$0.90                 ,           43.1 ,                  0.55 ,Model Providers
Llama 3.2 11B (Vision)     ,        ,128k           ,                  53 ,$0.19                 ,          116.3 ,                  0.39 ,Model Providers
Llama 3.2 3B               ,        ,128k           ,                  46 ,$0.10                 ,          162.4 ,                  0.38 ,Model Providers
Llama 3.2 1B               ,        ,128k           ,                  28 ,$0.10                 ,          485.3 ,                  0.36 ,Model Providers
Gemini 1.5 Pro (Sep '24)   ,        ,2m             ,                  80 ,$2.19                 ,           61.7 ,                  0.78 ,Model Providers
Gemini 1.5 Pro (May '24)   ,        ,2m             ,                     ,$5.25                 ,           64.3 ,                  0.80 ,Model Providers
Gemini 1.5 Flash (Sep '24) ,        ,1m             ,                  71 ,$0.13                 ,          210.8 ,                  0.38 ,Model Providers
Gemini 1.5 Flash (May '24) ,        ,1m             ,                     ,$0.13                 ,          312.6 ,                  0.34 ,Model Providers
Gemma 2 27B                ,        ,8k             ,                  61 ,$0.80                 ,           50.9 ,                  0.45 ,Model Providers
Gemma 2 9B                 ,        ,8k             ,                  46 ,$0.20                 ,          107.6 ,                  0.27 ,Model Providers
Claude 3.5 Sonnet          ,        ,200k           ,                  77 ,$6.00                 ,           63.9 ,                  0.93 ,Model Providers
Claude 3 Opus              ,        ,200k           ,                  70 ,$30.00                ,           25.3 ,                  1.81 ,Model Providers
Claude 3 Haiku             ,        ,200k           ,                  54 ,$0.50                 ,          129.1 ,                  0.47 ,Model Providers
Mistral Large 2            ,        ,128k           ,                  73 ,$3.75                 ,           38.1 ,                  0.55 ,Model Providers
Mixtral 8x22B              ,        ,65k            ,                  61 ,$1.20                 ,           67.3 ,                  0.37 ,Model Providers
Mistral Small (Sep '24)    ,        ,128k           ,                  60 ,$0.30                 ,           80.3 ,                  0.45 ,Model Providers
Pixtral 12B                ,        ,128k           ,                  56 ,$0.15                 ,           79.9 ,                  0.59 ,Model Providers
Mistral NeMo               ,        ,128k           ,                  52 ,$0.15                 ,          132.7 ,                  0.29 ,Model Providers
Mixtral 8x7B               ,        ,33k            ,                  42 ,$0.50                 ,           88.0 ,                  0.35 ,Model Providers
Codestral-Mamba            ,        ,256k           ,                  36 ,$0.25                 ,           94.6 ,                  0.58 ,Model Providers
Command-R+                 ,        ,128k           ,                  56 ,$5.19                 ,           47.7 ,                  0.53 ,Model Providers
Command-R                  ,        ,128k           ,                  51 ,$0.51                 ,          105.9 ,                  0.35 ,Model Providers
Command-R+ (Apr '24)       ,        ,128k           ,                  46 ,$6.00                 ,           46.6 ,                  0.57 ,Model Providers
Command-R (Mar '24)        ,        ,128k           ,                  36 ,$0.75                 ,          105.3 ,                  0.40 ,Model Providers
Sonar Large                ,        ,33k            ,                  62 ,$1.00                 ,                ,                       ,Model Providers
Sonar Small                ,        ,33k            ,                  41 ,$0.20                 ,                ,                       ,Model Providers
Sonar 3.1 Small            ,        ,131k           ,                     ,$0.20                 ,          144.9 ,                  0.18 ,Model Providers
Sonar 3.1 Large            ,        ,131k           ,                     ,$1.00                 ,           60.6 ,                  0.22 ,Model Providers
Phi-3 Medium 14B           ,        ,128k           ,                     ,$0.33                 ,           51.0 ,                  0.46 ,Model Providers
DBRX                       ,        ,33k            ,                  49 ,$1.16                 ,           86.4 ,                  0.43 ,Model Providers
Reka Core                  ,        ,128k           ,                  57 ,$4.00                 ,           14.8 ,                  1.14 ,Model Providers
Reka Flash                 ,        ,128k           ,                  46 ,$1.10                 ,           29.9 ,                  0.98 ,Model Providers
Reka Edge                  ,        ,64k            ,                  30 ,$0.55                 ,                ,                       ,Model Providers
Jamba 1.5 Large            ,        ,256k           ,                  64 ,$3.50                 ,           61.1 ,                  1.03 ,Model Providers
Jamba 1.5 Mini             ,        ,256k           ,                  46 ,$0.25                 ,          162.5 ,                  0.83 ,Model Providers
DeepSeek-Coder-V2          ,        ,128k           ,                  67 ,$0.17                 ,           17.0 ,                  1.16 ,Model Providers
DeepSeek-V2                ,        ,128k           ,                  66 ,$0.17                 ,           16.9 ,                  1.24 ,Model Providers
DeepSeek-V2.5              ,        ,128k           ,                  66 ,$0.17                 ,           16.8 ,                  1.21 ,Model Providers
Qwen2.5 72B                ,        ,131k           ,                  75 ,$0.38                 ,           33.7 ,                  0.57 ,Model Providers
Qwen2 72B                  ,        ,128k           ,                  69 ,$0.63                 ,           50.7 ,                  0.44 ,Model Providers
Yi-Large                   ,        ,32k            ,                  58 ,$3.00                 ,           63.2 ,                  0.40 ,Model Providers
GPT-4 Turbo                ,        ,128k           ,                  74 ,$15.00                ,           38.0 ,                  0.57 ,Model Providers
GPT-3.5 Turbo              ,        ,16k            ,                  52 ,$0.75                 ,           85.9 ,                  0.37 ,Model Providers
GPT-3.5 Turbo Instruct     ,        ,4k             ,                     ,$1.63                 ,          109.6 ,                  0.54 ,Model Providers
GPT-4                      ,        ,8k             ,                     ,$37.50                ,           28.5 ,                  0.57 ,Model Providers
Llama 3 70B                ,        ,8k             ,                  62 ,$0.90                 ,           54.3 ,                  0.45 ,Model Providers
Llama 3 8B                 ,        ,8k             ,                  46 ,$0.15                 ,           97.8 ,                  0.36 ,Model Providers
Llama 2 Chat 70B           ,        ,4k             ,                  39 ,$1.39                 ,           47.9 ,                  0.45 ,Model Providers
Llama 2 Chat 13B           ,        ,4k             ,                  36 ,$0.30                 ,           53.7 ,                  0.41 ,Model Providers
Llama 2 Chat 7B            ,        ,4k             ,                     ,$0.33                 ,          123.7 ,                  0.50 ,Model Providers
Gemma 7B                   ,        ,8k             ,                  33 ,$0.07                 ,          959.0 ,                  0.90 ,Model Providers
Gemini 1.0 Pro             ,        ,33k            ,                     ,$0.75                 ,           98.4 ,                  1.19 ,Model Providers
Claude 3 Sonnet            ,        ,200k           ,                  57 ,$6.00                 ,           54.1 ,                  0.97 ,Model Providers
Claude 2.1                 ,        ,200k           ,                     ,$12.00                ,           28.6 ,                  1.58 ,Model Providers
Claude Instant             ,        ,100k           ,                     ,$1.20                 ,           74.9 ,                  0.57 ,Model Providers
Claude 2.0                 ,        ,100k           ,                     ,$12.00                ,           31.4 ,                  1.05 ,Model Providers
Mistral Large              ,        ,33k            ,                  56 ,$6.00                 ,           33.8 ,                  0.61 ,Model Providers
Mistral Small (Feb '24)    ,        ,33k            ,                  50 ,$1.50                 ,           47.5 ,                  0.47 ,Model Providers
Mistral 7B                 ,        ,33k            ,                  24 ,$0.16                 ,          109.1 ,                  0.29 ,Model Providers
Codestral                  ,        ,33k            ,                     ,$0.30                 ,           48.7 ,                  0.45 ,Model Providers
Mistral Medium             ,        ,33k            ,                     ,$4.09                 ,           38.3 ,                  0.77 ,Model Providers
Command                    ,        ,4k             ,                  26 ,$1.44                 ,           22.0 ,                  0.52 ,Model Providers
Command Light              ,        ,4k             ,                  14 ,$0.38                 ,           34.7 ,                  0.54 ,Model Providers
OpenChat 3.5               ,        ,8k             ,                  43 ,$0.06                 ,           70.8 ,                  0.29 ,Model Providers
Jamba Instruct             ,        ,256k           ,                  28 ,$0.55                 ,           81.4 ,                  0.74 ,Model Providers
